"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"arulesViz","arulesViz","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.4-0",NA,"arules (>= 1.4.1)","graphics, methods, utils, grDevices, stats, seriation,
colorspace, grid, vcd, igraph (>= 1.0.0), scatterplot3d,
ggplot2, tibble, tidyr, dplyr, DT, plotly, visNetwork",NA,"graph, Rgraphviz, shiny, shinythemes, htmlwidgets",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.4"
"ash","ash","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.0-15",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"AsioHeaders","AsioHeaders","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.16.1-1",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.0.3"
"askpass","askpass","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.1",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"assertthat","assertthat","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.2.1",NA,NA,"tools",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"astsa","astsa","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.12",NA,NA,NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"AsynchLong","AsynchLong","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","2.1",NA,"compiler, parallel, stats, graphics, methods",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"attempt","attempt","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.3.1",NA,NA,"rlang",NA,"testthat, knitr, rmarkdown, curl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"audio","audio","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.1-7",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"av","av","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.5.1",NA,"R (>= 3.5)","graphics",NA,"testthat, ps, ggplot2, gapminder",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"aws.ec2metadata","aws.ec2metadata","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.2.0",NA,NA,"curl, jsonlite",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"aws.s3","aws.s3","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.3.21",NA,NA,"utils, tools, curl, httr, xml2 (> 1.0.0), base64enc, digest,
aws.signature (>= 0.3.7)",NA,"testthat, datasets",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"aws.signature","aws.signature","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.6.0",NA,NA,"digest, base64enc",NA,"testthat (>= 2.1.0), aws.ec2metadata (>= 0.1.6)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"azuremlsdk","azuremlsdk","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.10.0",NA,"R (>= 3.5.0)","ggplot2, reticulate (>= 1.12), plyr (>= 1.8), DT, rstudioapi
(>= 0.7), htmltools, servr, shiny, shinycssloaders",NA,"rmarkdown, knitr, testthat, dplyr, jsonlite, foreach,
iterators, utils",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"babynames","babynames","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.0.0",NA,"R (>= 2.10)","tibble",NA,"testthat (>= 2.0.0)",NA,"CC0",NA,NA,NA,NA,"no","4.0.3"
"backports","backports","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.2.1",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"badger","badger","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.0.9",NA,"R (>= 3.3.0)","dlstats, rvcheck, desc",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.3"
"base64","base64","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","2.0",NA,NA,"openssl",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"base64enc","base64enc","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"base64url","base64url","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.4",NA,NA,"backports (>= 1.1.0)",NA,"base64enc, checkmate, knitr, microbenchmark, openssl,
rmarkdown, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"BayesFactor","BayesFactor","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.9.12-4.2",NA,"R (>= 3.2.0), coda, Matrix (>= 1.1-1)","pbapply, mvtnorm, stringr, utils, graphics, gtools,
MatrixModels, Rcpp (>= 0.11.2), methods, hypergeo","Rcpp (>= 0.11.2), RcppEigen (>= 0.3.2.2.0)","doMC, foreach, testthat, knitr, markdown, arm, lme4, xtable,
languageR",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.3"
"bayesm","bayesm","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","3.1-4",NA,"R (>= 3.2.0)","Rcpp (>= 0.12.0), utils, stats, graphics, grDevices","Rcpp, RcppArmadillo","knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"bayesplot","bayesplot","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.8.0",NA,"R (>= 3.1.0)","dplyr (>= 0.8.0), ggplot2 (>= 3.0.0), ggridges, glue,
reshape2, rlang (>= 0.3.0), stats, tibble, tidyselect, utils",NA,"ggfortify, gridExtra (>= 2.2.1), hexbin, knitr (>= 1.16), loo
(>= 2.0.0), RColorBrewer, rmarkdown (>= 1.0.0), rstan (>=
2.17.1), rstanarm (>= 2.17.4), rstantools (>= 1.5.0), scales,
shinystan (>= 2.3.0), survival, testthat (>= 2.0.0), vdiffr",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.3"
"bayestestR","bayestestR","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.8.2",NA,"R (>= 3.4)","insight (>= 0.12.0), methods, stats, utils",NA,"BayesFactor, bayesQR, bridgesampling, brms, broom, covr,
dplyr, effectsize, emmeans, GGally, ggplot2, ggridges, httr,
KernSmooth, knitr, MASS, mclust, modelbased, lavaan, lme4,
logspline, mediation, parameters, performance, rmarkdown,
rstan, rstanarm, see, stringr, testthat, tidyr, tweedie",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"bazar","bazar","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.0.11",NA,"R (>= 3.1.3)","kimisc, stats, tools, utils",NA,"knitr, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"BBmisc","BBmisc","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.11",NA,NA,"utils, methods, stats, checkmate (>= 1.8.0)",NA,"testthat, microbenchmark, codetools",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"bbmle","bbmle","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.0.23.1",NA,"R (>= 3.0.0), stats4","stats, numDeriv, lattice, MASS, methods, bdsmatrix, Matrix,
mvtnorm",NA,"emdbook, rms, ggplot2, RUnit, MuMIn, AICcmodavg, Hmisc,
optimx (>= 2013.8.6), knitr, testthat",NA,"GPL",NA,NA,NA,NA,"no","4.0.3"
"bdsmatrix","bdsmatrix","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.3-4",NA,"methods, R (>= 2.0.0)",NA,NA,NA,NA,"LGPL-2",NA,NA,NA,NA,"yes","4.0.3"
"beanplot","beanplot","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.2",NA,NA,NA,NA,"vioplot, lattice",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"beepr","beepr","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.3",NA,NA,"stringr (>= 1.0.0), audio",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"benchmarkme","benchmarkme","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.0.6",NA,"R (>= 3.5.0)","benchmarkmeData (>= 1.0.4), compiler, doParallel, dplyr,
foreach, graphics, httr, Matrix, methods, parallel, tibble,
utils",NA,"covr, DT, ggplot2, knitr, RcppZiggurat, rmarkdown, testthat",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.0.4"
"benchmarkmeData","benchmarkmeData","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.0.4",NA,"R (>= 3.5.0)","dplyr, graphics, tibble, utils",NA,"benchmarkme, covr, DT, testthat",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.0.3"
"berryFunctions","berryFunctions","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.19.1",NA,NA,"grDevices, graphics, stats, utils, abind",NA,"RColorBrewer, pbapply, knitr, rmarkdown, gstat, RCurl,
colorspace",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"betareg","betareg","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","3.1-4",NA,"R (>= 3.0.0)","graphics, grDevices, methods, stats, flexmix, Formula, lmtest,
modeltools, sandwich",NA,"car, lattice, partykit, strucchange",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.0.3"
"BH","BH","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.75.0-0",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.0.3"
"BiasedUrn","BiasedUrn","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.07",NA,NA,NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"bibtex","bibtex","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.4.2.3",NA,"R (>= 3.0.2)","stringr, utils",NA,"testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"bife","bife","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.7.1",NA,"R (>= 3.1.0)","data.table, Formula, Rcpp, stats","Rcpp, RcppArmadillo","alpaca, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"bigassertr","bigassertr","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.1.3",NA,NA,NA,NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"biglm","biglm","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.9-2.1",NA,"DBI, methods",NA,NA,"RSQLite, RODBC","leaps","GPL",NA,NA,NA,NA,"yes","4.0.3"
"bigmemory","bigmemory","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","4.5.36",NA,"R (>= 3.2.0),","methods, Rcpp, utils, bigmemory.sri","BH, Rcpp","testthat","biganalytics, bigtabulate","LGPL-3 | Apache License 2.0",NA,NA,NA,NA,"yes","4.0.3"
"bigmemory.sri","bigmemory.sri","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.1.3",NA,NA,"methods",NA,NA,"bigmemory, synchronicity","LGPL-3 | Apache License 2.0",NA,NA,NA,NA,"no","4.0.3"
"bigreadr","bigreadr","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.2.2",NA,NA,"bigassertr (>= 0.1.1), data.table, parallelly, Rcpp, utils","Rcpp","spelling, testthat, covr, RSQLite",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"bimets","bimets","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.5.3",NA,"R (>= 3.3), xts, zoo","stats",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"binb","binb","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.0.6",NA,NA,"rmarkdown, knitr",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"binman","binman","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.1.2",NA,"R (>= 3.3)","rappdirs, yaml, httr, jsonlite, xml2, utils, stats,
assertthat, semver",NA,"testthat, covr, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"Biobase","Biobase","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","2.50.0",NA,"R (>= 2.10), BiocGenerics (>= 0.27.1), utils","methods",NA,"tools, tkWidgets, ALL, RUnit, golubEsets",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.0.3"
"BiocFileCache","BiocFileCache","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.14.0",NA,"R (>= 3.4.0), dbplyr (>= 1.0.0)","methods, stats, utils, dplyr, RSQLite, DBI, rappdirs, curl,
httr",NA,"testthat, knitr, BiocStyle, rmarkdown, rtracklayer",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.3"
"BiocGenerics","BiocGenerics","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.36.0",NA,"R (>= 4.0.0), methods, utils, graphics, stats, parallel","methods, utils, graphics, stats, parallel",NA,"Biobase, S4Vectors, IRanges, GenomicRanges, DelayedArray,
Biostrings, Rsamtools, AnnotationDbi, affy, affyPLM, DESeq2,
flowClust, MSnbase, annotate, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.3"
"BiocManager","BiocManager","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.30.10",NA,NA,"utils",NA,"BiocStyle, BiocVersion, remotes, testthat, withr, curl, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.3"
"BiocParallel","BiocParallel","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.24.1",NA,"methods","stats, utils, futile.logger, parallel, snow","BH","BiocGenerics, tools, foreach, BatchJobs, BBmisc, doParallel,
Rmpi, GenomicRanges, RNAseqData.HNRNPC.bam.chr14,
TxDb.Hsapiens.UCSC.hg19.knownGene, VariantAnnotation,
Rsamtools, GenomicAlignments, ShortRead, codetools, RUnit,
BiocStyle, knitr, batchtools, data.table",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"BiocVersion","BiocVersion","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","3.12.0",NA,"R (>= 4.0.0)",NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.0"
"biomaRt","biomaRt","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","2.46.0",NA,"methods","utils, XML, AnnotationDbi, progress, stringr, httr, openssl,
BiocFileCache, rappdirs, xml2",NA,"annotate, BiocStyle, knitr, rmarkdown, testthat",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.3"
"Biostrings","Biostrings","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","2.58.0",NA,"R (>= 3.5.0), methods, BiocGenerics (>= 0.31.5), S4Vectors (>=
0.27.12), IRanges (>= 2.23.9), XVector (>= 0.29.2)","methods, utils, grDevices, graphics, stats, crayon","S4Vectors, IRanges, XVector","BSgenome (>= 1.13.14), BSgenome.Celegans.UCSC.ce2 (>=
1.3.11), BSgenome.Dmelanogaster.UCSC.dm3 (>= 1.3.11),
BSgenome.Hsapiens.UCSC.hg18, drosophila2probe, hgu95av2probe,
hgu133aprobe, GenomicFeatures (>= 1.3.14), hgu95av2cdf, affy
(>= 1.41.3), affydata (>= 1.11.5), RUnit","Rmpi","Artistic-2.0",NA,NA,NA,NA,"yes","4.0.3"
"bit","bit","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","4.0.4",NA,"R (>= 2.9.2)",NA,NA,"testthat (>= 0.11.0), roxygen2, knitr, rmarkdown,
microbenchmark, bit64 (>= 4.0.0), ff (>= 4.0.0)",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"bit64","bit64","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","4.0.5",NA,"R (>= 3.0.1), bit (>= 4.0.0), utils, methods, stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"bitops","bitops","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.0-6",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"blob","blob","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.2.1",NA,NA,"methods, rlang, vctrs (>= 0.2.1)",NA,"covr, crayon, pillar (>= 1.2.1), testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"blogdown","blogdown","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.2",NA,NA,"rmarkdown (>= 2.6), bookdown (>= 0.14), knitr (>= 1.25),
htmltools, yaml (>= 2.1.19), httpuv (>= 1.4.0), later, xfun (>=
0.21), servr (>= 0.21)",NA,"testit, shiny, miniUI, stringr, rstudioapi, tools, processx,
whoami",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.4"
"BMA","BMA","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","3.18.14",NA,"survival, leaps, robustbase, inline, rrcov","methods",NA,"MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"BMS","BMS","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.3.4",NA,"R (>= 2.5)","graphics, methods, stats",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.3"
"bookdown","bookdown","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.21",NA,NA,"htmltools (>= 0.3.6), knitr (>= 1.22), rmarkdown (>= 2.4),
xfun (>= 0.13), tinytex (>= 0.12), yaml (>= 2.1.19)",NA,"htmlwidgets, rstudioapi, miniUI, rsconnect (>= 0.4.3), servr
(>= 0.13), shiny, testit (>= 0.9), tufte, webshot",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"boot","boot","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.3-27","recommended","R (>= 3.0.0), graphics, stats",NA,NA,"MASS, survival",NA,"Unlimited",NA,NA,NA,NA,"no","4.0.3"
"bootstrap","bootstrap","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","2019.6",NA,"stats, R (>= 2.10.0)",NA,NA,NA,NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
